ProvState,Country,Lat,Long,Date,Deaths_Total,Deaths_Daily,Confirmed_Total,Confirmed_Daily
NA,Afghanistan,33,65,2020-01-22,0,0,0,0
NA,Afghanistan,33,65,2020-01-23,0,0,0,0
NA,Afghanistan,33,65,2020-01-24,0,0,0,0
NA,Afghanistan,33,65,2020-01-25,0,0,0,0
NA,Afghanistan,33,65,2020-01-26,0,0,0,0
NA,Afghanistan,33,65,2020-01-27,0,0,0,0
NA,Afghanistan,33,65,2020-01-28,0,0,0,0
NA,Afghanistan,33,65,2020-01-29,0,0,0,0
NA,Afghanistan,33,65,2020-01-30,0,0,0,0
NA,Afghanistan,33,65,2020-01-31,0,0,0,0
NA,Afghanistan,33,65,2020-02-01,0,0,0,0
NA,Afghanistan,33,65,2020-02-02,0,0,0,0
NA,Afghanistan,33,65,2020-02-03,0,0,0,0
NA,Afghanistan,33,65,2020-02-04,0,0,0,0
NA,Afghanistan,33,65,2020-02-05,0,0,0,0
NA,Afghanistan,33,65,2020-02-06,0,0,0,0
NA,Afghanistan,33,65,2020-02-07,0,0,0,0
NA,Afghanistan,33,65,2020-02-08,0,0,0,0
NA,Afghanistan,33,65,2020-02-09,0,0,0,0
NA,Afghanistan,33,65,2020-02-10,0,0,0,0
NA,Afghanistan,33,65,2020-02-11,0,0,0,0
NA,Afghanistan,33,65,2020-02-12,0,0,0,0
NA,Afghanistan,33,65,2020-02-13,0,0,0,0
NA,Afghanistan,33,65,2020-02-14,0,0,0,0
NA,Afghanistan,33,65,2020-02-15,0,0,0,0
NA,Afghanistan,33,65,2020-02-16,0,0,0,0
NA,Afghanistan,33,65,2020-02-17,0,0,0,0
NA,Afghanistan,33,65,2020-02-18,0,0,0,0
NA,Afghanistan,33,65,2020-02-19,0,0,0,0
NA,Afghanistan,33,65,2020-02-20,0,0,0,0
NA,Afghanistan,33,65,2020-02-21,0,0,0,0
NA,Afghanistan,33,65,2020-02-22,0,0,0,0
NA,Afghanistan,33,65,2020-02-23,0,0,0,0
NA,Afghanistan,33,65,2020-02-24,0,0,1,1
NA,Afghanistan,33,65,2020-02-25,0,0,1,0
NA,Afghanistan,33,65,2020-02-26,0,0,1,0
NA,Afghanistan,33,65,2020-02-27,0,0,1,0
NA,Afghanistan,33,65,2020-02-28,0,0,1,0
NA,Afghanistan,33,65,2020-02-29,0,0,1,0
NA,Afghanistan,33,65,2020-03-01,0,0,1,0
NA,Afghanistan,33,65,2020-03-02,0,0,1,0
NA,Afghanistan,33,65,2020-03-03,0,0,1,0
NA,Afghanistan,33,65,2020-03-04,0,0,1,0
NA,Afghanistan,33,65,2020-03-05,0,0,1,0
NA,Afghanistan,33,65,2020-03-06,0,0,1,0
NA,Afghanistan,33,65,2020-03-07,0,0,1,0
NA,Afghanistan,33,65,2020-03-08,0,0,4,3
NA,Afghanistan,33,65,2020-03-09,0,0,4,0
NA,Afghanistan,33,65,2020-03-10,0,0,5,1
NA,Afghanistan,33,65,2020-03-11,0,0,7,2
NA,Afghanistan,33,65,2020-03-12,0,0,7,0
NA,Afghanistan,33,65,2020-03-13,0,0,7,0
NA,Afghanistan,33,65,2020-03-14,0,0,11,4
NA,Afghanistan,33,65,2020-03-15,0,0,16,5
NA,Afghanistan,33,65,2020-03-16,0,0,21,5
NA,Afghanistan,33,65,2020-03-17,0,0,22,1
NA,Afghanistan,33,65,2020-03-18,0,0,22,0
NA,Afghanistan,33,65,2020-03-19,0,0,22,0
NA,Afghanistan,33,65,2020-03-20,0,0,24,2
NA,Afghanistan,33,65,2020-03-21,0,0,24,0
NA,Afghanistan,33,65,2020-03-22,1,1,40,16
NA,Afghanistan,33,65,2020-03-23,1,0,40,0
NA,Afghanistan,33,65,2020-03-24,1,0,74,34
NA,Afghanistan,33,65,2020-03-25,2,1,84,10
NA,Afghanistan,33,65,2020-03-26,4,2,94,10
NA,Afghanistan,33,65,2020-03-27,4,0,110,16
NA,Afghanistan,33,65,2020-03-28,4,0,110,0
NA,Afghanistan,33,65,2020-03-29,4,0,120,10
NA,Afghanistan,33,65,2020-03-30,4,0,170,50
NA,Afghanistan,33,65,2020-03-31,4,0,174,4
NA,Afghanistan,33,65,2020-04-01,4,0,237,63
NA,Afghanistan,33,65,2020-04-02,6,2,273,36
NA,Afghanistan,33,65,2020-04-03,6,0,281,8
NA,Afghanistan,33,65,2020-04-04,7,1,299,18
NA,Afghanistan,33,65,2020-04-05,7,0,349,50
NA,Albania,41.1533,20.1683,2020-01-22,0,0,0,0
NA,Albania,41.1533,20.1683,2020-01-23,0,0,0,0
NA,Albania,41.1533,20.1683,2020-01-24,0,0,0,0
